benchmark,pktsize,config,snabb,kernel,qemu,dpdk,id,score,unit,hardware
esp-tunnel,1000,encapsulate,ipsec,,,,3,20.59,Gbps,murren
esp-tunnel,1000,encapsulate,ipsec,,,,3,122717851838,cycles,murren
esp-tunnel,1000,encapsulate,ipsec,,,,4,20.65,Gbps,murren
esp-tunnel,1000,encapsulate,ipsec,,,,4,122367315908,cycles,murren
esp-tunnel,1000,encapsulate,ipsec,,,,5,20.59,Gbps,murren
esp-tunnel,1000,encapsulate,ipsec,,,,5,122770708992,cycles,murren
esp-tunnel,1000,encapsulate,ipsec,,,,6,20.58,Gbps,murren
esp-tunnel,1000,encapsulate,ipsec,,,,6,122800211770,cycles,murren
esp-tunnel,1000,encapsulate,ipsec,,,,7,20.60,Gbps,murren
esp-tunnel,1000,encapsulate,ipsec,,,,7,122696199976,cycles,murren
esp-tunnel,1000,encapsulate,ipsec,,,,8,20.59,Gbps,murren
esp-tunnel,1000,encapsulate,ipsec,,,,8,122758753298,cycles,murren
esp-tunnel,1000,encapsulate,ipsec,,,,9,20.74,Gbps,murren
esp-tunnel,1000,encapsulate,ipsec,,,,9,121833727520,cycles,murren
esp-tunnel,1500,encapsulate,ipsec,,,,1,24.32,Gbps,murren
esp-tunnel,1500,encapsulate,ipsec,,,,1,155830270189,cycles,murren
esp-tunnel,1500,encapsulate,ipsec,,,,10,24.40,Gbps,murren
esp-tunnel,1500,encapsulate,ipsec,,,,10,155337372712,cycles,murren
esp-tunnel,1500,encapsulate,ipsec,,,,2,24.24,Gbps,murren
esp-tunnel,1500,encapsulate,ipsec,,,,2,156394682006,cycles,murren
esp-tunnel,1500,encapsulate,ipsec,,,,3,24.52,Gbps,murren
esp-tunnel,1500,encapsulate,ipsec,,,,3,154599180315,cycles,murren
esp-tunnel,1500,encapsulate,ipsec,,,,4,24.54,Gbps,murren
esp-tunnel,1500,encapsulate,ipsec,,,,4,154441298192,cycles,murren
esp-tunnel,1500,encapsulate,ipsec,,,,5,23.79,Gbps,murren
esp-tunnel,1500,encapsulate,ipsec,,,,5,159335318141,cycles,murren
esp-tunnel,1500,encapsulate,ipsec,,,,6,24.27,Gbps,murren
esp-tunnel,1500,encapsulate,ipsec,,,,6,156165063039,cycles,murren
esp-tunnel,1500,encapsulate,ipsec,,,,7,24.49,Gbps,murren
esp-tunnel,1500,encapsulate,ipsec,,,,7,154762666676,cycles,murren
esp-tunnel,1500,encapsulate,ipsec,,,,8,24.42,Gbps,murren
esp-tunnel,1500,encapsulate,ipsec,,,,8,155209469941,cycles,murren
esp-tunnel,1500,encapsulate,ipsec,,,,9,24.19,Gbps,murren
esp-tunnel,1500,encapsulate,ipsec,,,,9,156737403155,cycles,murren
esp-tunnel,250,encapsulate,ipsec,,,,1,9.49,Gbps,murren
esp-tunnel,250,encapsulate,ipsec,,,,1,66592711752,cycles,murren
esp-tunnel,250,encapsulate,ipsec,,,,10,9.48,Gbps,murren
esp-tunnel,250,encapsulate,ipsec,,,,10,66653805229,cycles,murren
esp-tunnel,250,encapsulate,ipsec,,,,2,9.36,Gbps,murren
esp-tunnel,250,encapsulate,ipsec,,,,2,67499293094,cycles,murren
esp-tunnel,250,encapsulate,ipsec,,,,3,9.43,Gbps,murren
esp-tunnel,250,encapsulate,ipsec,,,,3,67020744836,cycles,murren
esp-tunnel,250,encapsulate,ipsec,,,,4,9.42,Gbps,murren
esp-tunnel,250,encapsulate,ipsec,,,,4,67040082330,cycles,murren
esp-tunnel,250,encapsulate,ipsec,,,,5,9.41,Gbps,murren
esp-tunnel,250,encapsulate,ipsec,,,,5,67156410000,cycles,murren
esp-tunnel,250,encapsulate,ipsec,,,,6,9.42,Gbps,murren
esp-tunnel,250,encapsulate,ipsec,,,,6,67066969259,cycles,murren
esp-tunnel,250,encapsulate,ipsec,,,,7,9.49,Gbps,murren
esp-tunnel,250,encapsulate,ipsec,,,,7,66580853684,cycles,murren
esp-tunnel,250,encapsulate,ipsec,,,,8,9.46,Gbps,murren
esp-tunnel,250,encapsulate,ipsec,,,,8,66799178064,cycles,murren
esp-tunnel,250,encapsulate,ipsec,,,,9,9.45,Gbps,murren
esp-tunnel,250,encapsulate,ipsec,,,,9,66839014838,cycles,murren
esp-tunnel,500,encapsulate,ipsec,,,,1,14.25,Gbps,murren
esp-tunnel,500,encapsulate,ipsec,,,,1,88666047428,cycles,murren
esp-tunnel,500,encapsulate,ipsec,,,,10,14.36,Gbps,murren
esp-tunnel,500,encapsulate,ipsec,,,,10,87977558850,cycles,murren
esp-tunnel,500,encapsulate,ipsec,,,,2,14.23,Gbps,murren
esp-tunnel,500,encapsulate,ipsec,,,,2,88777452076,cycles,murren
esp-tunnel,500,encapsulate,ipsec,,,,3,14.27,Gbps,murren
esp-tunnel,500,encapsulate,ipsec,,,,3,88563733350,cycles,murren
esp-tunnel,500,encapsulate,ipsec,,,,4,14.31,Gbps,murren
esp-tunnel,500,encapsulate,ipsec,,,,4,88326722699,cycles,murren
esp-tunnel,500,encapsulate,ipsec,,,,5,14.36,Gbps,murren
esp-tunnel,500,encapsulate,ipsec,,,,5,87995393124,cycles,murren
esp-tunnel,500,encapsulate,ipsec,,,,6,14.30,Gbps,murren
esp-tunnel,500,encapsulate,ipsec,,,,6,88361444212,cycles,murren
esp-tunnel,500,encapsulate,ipsec,,,,7,14.34,Gbps,murren
esp-tunnel,500,encapsulate,ipsec,,,,7,88094174366,cycles,murren
esp-tunnel,500,encapsulate,ipsec,,,,8,14.26,Gbps,murren
esp-tunnel,500,encapsulate,ipsec,,,,8,88599740880,cycles,murren
esp-tunnel,500,encapsulate,ipsec,,,,9,14.36,Gbps,murren
esp-tunnel,500,encapsulate,ipsec,,,,9,87970491066,cycles,murren
esp-tunnel,60,encapsulate,ipsec,,,,1,4.14,Gbps,murren
esp-tunnel,60,encapsulate,ipsec,,,,1,36610565390,cycles,murren
esp-tunnel,60,encapsulate,ipsec,,,,10,4.13,Gbps,murren
esp-tunnel,60,encapsulate,ipsec,,,,10,36739763428,cycles,murren
esp-tunnel,60,encapsulate,ipsec,,,,2,4.11,Gbps,murren
esp-tunnel,60,encapsulate,ipsec,,,,2,36858091038,cycles,murren
esp-tunnel,60,encapsulate,ipsec,,,,3,4.14,Gbps,murren
esp-tunnel,60,encapsulate,ipsec,,,,3,36612840291,cycles,murren
esp-tunnel,60,encapsulate,ipsec,,,,4,4.11,Gbps,murren
esp-tunnel,60,encapsulate,ipsec,,,,4,36865760542,cycles,murren
esp-tunnel,60,encapsulate,ipsec,,,,5,4.11,Gbps,murren
esp-tunnel,60,encapsulate,ipsec,,,,5,36901164240,cycles,murren
esp-tunnel,60,encapsulate,ipsec,,,,6,4.11,Gbps,murren
esp-tunnel,60,encapsulate,ipsec,,,,6,36899701894,cycles,murren
esp-tunnel,60,encapsulate,ipsec,,,,7,4.11,Gbps,murren
esp-tunnel,60,encapsulate,ipsec,,,,7,36905094152,cycles,murren
esp-tunnel,60,encapsulate,ipsec,,,,8,4.14,Gbps,murren
esp-tunnel,60,encapsulate,ipsec,,,,8,36641373714,cycles,murren
esp-tunnel,60,encapsulate,ipsec,,,,9,4.12,Gbps,murren
esp-tunnel,60,encapsulate,ipsec,,,,9,36836830922,cycles,murren
