#         Gbps
# size, espbump, plain, raw enc/dec
64   1.4     2.65  2.289
128  1.85    4.9   2.867
256  2.85    8.2   4.271
512  4.25    9.7   5.913
1024 5.65    9.85  7.437
1500 6.7     9.9   8.367
